"Division, Sub-Ddivision
Group","Class,Descriptions",Class Description,ISIC-P,ISIC Description,UID,ANZSIC CODE,Level,Division,Sub-Ddivision,Group,Class,Code,Description,ISIC Description,ISIC,ISIC-P,#ANZSIC,"PARENT #ANZSIC",#ISIC,Used For Concordance ,"Matches to 
Concordance
(ANZIC to ISIC)","Matches to 
Concordance
(ISIC to ANZIC)",Matched to NETVIEW,Match ISIC for description,Comments,,,,"#ANZSIC
Codes
Unique",Code
631,Life Insurance,,,,F7.1131,Yes,3,K,63,631,..,631,Life Insurance, .. ,..,..,ANZSIC-631,ANZSIC-63,..,No,..,..,1,..,,,,,,
,6310,Life Insurance,6511,Life insurance,F7.1132,Yes,4,K,63,631,6310,6310,Life Insurance, Life insurance ,6511,..,ANZSIC-6310,ANZSIC-631,ISIC-6511,Yes,2,1,2,Life insurance,,,,,,
,,,6520p,Reinsurance,F7.1133,No,4,K,63,631,6310,6310,Life Insurance, Reinsurance ,6520,p,ANZSIC-6310,ANZSIC-631,ISIC-6520,Yes,2,3,2,Reinsurance,,,,,,
632,Health and General Insurance,,,,F7.1134,Yes,3,K,63,632,..,632,Health and General Insurance, .. ,..,..,ANZSIC-632,ANZSIC-63,..,No,..,..,1,..,,,,,,
,6321,Health Insurance,6512p,Non-life insurance,F7.1135,Yes,4,K,63,632,6321,6321,Health Insurance, Non-life insurance ,6512,p,ANZSIC-6321,ANZSIC-632,ISIC-6512,Yes,2,2,2,Non-life insurance,,,,,,
,,,6520p,Reinsurance,F7.1136,No,4,K,63,632,6321,6321,Health Insurance, Reinsurance ,6520,p,ANZSIC-6321,ANZSIC-632,ISIC-6520,Yes,2,3,2,Reinsurance,,,,,,
,6322,General Insurance,6512p,Non-life insurance,F7.1137,Yes,4,K,63,632,6322,6322,General Insurance, Non-life insurance ,6512,p,ANZSIC-6322,ANZSIC-632,ISIC-6512,Yes,2,2,2,Non-life insurance,,,,,,
,,,6520p,Reinsurance,F7.1138,No,4,K,63,632,6322,6322,General Insurance, Reinsurance ,6520,p,ANZSIC-6322,ANZSIC-632,ISIC-6520,Yes,2,3,2,Reinsurance,,,,,,
633,Superannuation Funds,,,,F7.1139,Yes,3,K,63,633,..,633,Superannuation Funds, .. ,..,..,ANZSIC-633,ANZSIC-63,..,No,..,..,1,..,,,,,,
,6330,Superannuation Funds,6530,Pension funding,F7.1140,Yes,4,K,63,633,6330,6330,Superannuation Funds, Pension funding ,6530,..,ANZSIC-6330,ANZSIC-633,ISIC-6530,Yes,2,1,2,Pension funding,,,,,,
,,,8430p,Compulsory social security activities,F7.1141,No,4,K,63,633,6330,6330,Superannuation Funds, Compulsory social security activities ,8430,p,ANZSIC-6330,ANZSIC-633,ISIC-8430,Yes,2,2,2,Compulsory social security activities,,,,,,
64,Auxiliary Finance and Insurance Services,,,,F7.1142,Yes,2,K,64,..,..,64,Auxiliary Finance and Insurance Services, .. ,..,..,ANZSIC-64,ANZSIC-K,..,No,..,..,1,..,,,,,,
641,Auxiliary Finance and Investment Services,,,,F7.1143,Yes,3,K,64,641,..,641,Auxiliary Finance and Investment Services, .. ,..,..,ANZSIC-641,ANZSIC-64,..,No,..,..,1,..,,,,,,
,6411,Financial Asset Broking Services,6612p,Security and commodity contracts brokerage,F7.1144,Yes,4,K,64,641,6411,6411,Financial Asset Broking Services, Security and commodity contracts brokerage ,6612,p,ANZSIC-6411,ANZSIC-641,ISIC-6612,Yes,2,2,2,Security and commodity contracts brokerage,,,,,,
,,,7490p,"Other professional, scientific and technical activities n.e.c.",F7.1145,No,4,K,64,641,6411,6411,Financial Asset Broking Services," Other professional, scientific and technical activities n.e.c. ",7490,p,ANZSIC-6411,ANZSIC-641,ISIC-7490,Yes,2,6,2,"Other professional, scientific and technical activities n.e.c.",,,,,,
,6419,Other Auxiliary Finance and Investment Services,6611,Administration of financial markets,F7.1146,Yes,4,K,64,641,6419,6419,Other Auxiliary Finance and Investment Services, Administration of financial markets ,6611,..,ANZSIC-6419,ANZSIC-641,ISIC-6611,Yes,5,1,5,Administration of financial markets,,,,,,
,,,6612p,Security and commodity contracts brokerage,F7.1147,No,4,K,64,641,6419,6419,Other Auxiliary Finance and Investment Services, Security and commodity contracts brokerage ,6612,p,ANZSIC-6419,ANZSIC-641,ISIC-6612,Yes,5,2,5,Security and commodity contracts brokerage,,,,,,
,,,6619,Other activities auxiliary to financial service activities,F7.1148,No,4,K,64,641,6419,6419,Other Auxiliary Finance and Investment Services, Other activities auxiliary to financial service activities ,6619,..,ANZSIC-6419,ANZSIC-641,ISIC-6619,Yes,5,1,5,Other activities auxiliary to financial service activities,,,,,,
,,,6629p,Other activities auxiliary to insurance and pension funding,F7.1149,No,4,K,64,641,6419,6419,Other Auxiliary Finance and Investment Services, Other activities auxiliary to insurance and pension funding ,6629,p,ANZSIC-6419,ANZSIC-641,ISIC-6629,Yes,5,2,5,Other activities auxiliary to insurance and pension funding,,,,,,
,,,6630,Fund management activities,F7.1150,No,4,K,64,641,6419,6419,Other Auxiliary Finance and Investment Services, Fund management activities ,6630,..,ANZSIC-6419,ANZSIC-641,ISIC-6630,Yes,5,1,5,Fund management activities,,,,,,
642,Auxiliary Insurance Services,,,,F7.1151,Yes,3,K,64,642,..,642,Auxiliary Insurance Services, .. ,..,..,ANZSIC-642,ANZSIC-64,..,No,..,..,1,..,,,,,,
,6420,Auxiliary Insurance Services,6621,Risk and damage evaluation,F7.1152,Yes,4,K,64,642,6420,6420,Auxiliary Insurance Services, Risk and damage evaluation ,6621,..,ANZSIC-6420,ANZSIC-642,ISIC-6621,Yes,3,1,3,Risk and damage evaluation,,,,,,
,,,6622,Activities of insurance agents and brokers,F7.1153,No,4,K,64,642,6420,6420,Auxiliary Insurance Services, Activities of insurance agents and brokers ,6622,..,ANZSIC-6420,ANZSIC-642,ISIC-6622,Yes,3,1,3,Activities of insurance agents and brokers,,,,,,
,,,6629p,Other activities auxiliary to insurance and pension funding,F7.1154,No,4,K,64,642,6420,6420,Auxiliary Insurance Services, Other activities auxiliary to insurance and pension funding ,6629,p,ANZSIC-6420,ANZSIC-642,ISIC-6629,Yes,3,2,3,Other activities auxiliary to insurance and pension funding,,,,,,
,,,,,F7.1155,No,..,..,..,..,..,..,.., .. ,..,..,..,..,..,No,..,..,..,..,,,,,,
L,"Rental, Hiring and Real Estate Services",,,,F7.1156,Yes,1,L,..,..,..,L,"Rental, Hiring and Real Estate Services", .. ,..,..,ANZSIC-L,ANZSIC,..,No,..,..,1,..,,,,,,
66,Rental and Hiring Services (except Real Estate),,,,F7.1157,Yes,2,L,66,..,..,66,Rental and Hiring Services (except Real Estate), .. ,..,..,ANZSIC-66,ANZSIC-L,..,No,..,..,1,..,,,,,,
661,Motor Vehicle and Transport Equipment Rental and Hiring,,,,F7.1158,Yes,3,L,66,661,..,661,Motor Vehicle and Transport Equipment Rental and Hiring, .. ,..,..,ANZSIC-661,ANZSIC-66,..,No,..,..,1,..,,,,,,
,6611,Passenger Car Rental and Hiring,7710p,Renting and leasing of motor vehicles,F7.1159,Yes,4,L,66,661,6611,6611,Passenger Car Rental and Hiring, Renting and leasing of motor vehicles ,7710,p,ANZSIC-6611,ANZSIC-661,ISIC-7710,Yes,1,2,1,Renting and leasing of motor vehicles,,,,,,
,6619,Other Motor Vehicle and Transport Equipment Rental and Hiring,7710p,Renting and leasing of motor vehicles,F7.1160,Yes,4,L,66,661,6619,6619,Other Motor Vehicle and Transport Equipment Rental and Hiring, Renting and leasing of motor vehicles ,7710,p,ANZSIC-6619,ANZSIC-661,ISIC-7710,Yes,3,2,3,Renting and leasing of motor vehicles,,,,,,
,,,7721p,Renting and leasing of recreational and sports goods,F7.1161,No,4,L,66,661,6619,6619,Other Motor Vehicle and Transport Equipment Rental and Hiring, Renting and leasing of recreational and sports goods ,7721,p,ANZSIC-6619,ANZSIC-661,ISIC-7721,Yes,3,2,3,Renting and leasing of recreational and sports goods,,,,,,
,,,7730p,"Renting and leasing of other machinery, equipment and tangible goods",F7.1162,No,4,L,66,661,6619,6619,Other Motor Vehicle and Transport Equipment Rental and Hiring," Renting and leasing of other machinery, equipment and tangible goods ",7730,p,ANZSIC-6619,ANZSIC-661,ISIC-7730,Yes,3,4,3,"Renting and leasing of other machinery, equipment and tangible goods",,,,,,
662,Farm Animal and Bloodstock Leasing,,,,F7.1163,Yes,3,L,66,662,..,662,Farm Animal and Bloodstock Leasing, .. ,..,..,ANZSIC-662,ANZSIC-66,..,No,..,..,1,..,,,,,,
,6620,Farm Animal and Bloodstock Leasing,7730p,"Renting and leasing of other machinery, equipment and tangible goods",F7.1164,Yes,4,L,66,662,6620,6620,Farm Animal and Bloodstock Leasing," Renting and leasing of other machinery, equipment and tangible goods ",7730,p,ANZSIC-6620,ANZSIC-662,ISIC-7730,Yes,1,4,1,"Renting and leasing of other machinery, equipment and tangible goods",,,,,,
663,Other Goods and Equipment Rental and Hiring,,,,F7.1165,Yes,3,L,66,663,..,663,Other Goods and Equipment Rental and Hiring, .. ,..,..,ANZSIC-663,ANZSIC-66,..,No,..,..,1,..,,,,,,
,6631,Heavy Machinery and Scaffolding Rental and Hiring,7730p,"Renting and leasing of other machinery, equipment and tangible goods",F7.1166,Yes,4,L,66,663,6631,6631,Heavy Machinery and Scaffolding Rental and Hiring," Renting and leasing of other machinery, equipment and tangible goods ",7730,p,ANZSIC-6631,ANZSIC-663,ISIC-7730,Yes,1,4,1,"Renting and leasing of other machinery, equipment and tangible goods",,,,,,
,6632,Video and Other Electronic Media Rental and Hiring,7722,Renting of video tapes and disks,F7.1167,Yes,4,L,66,663,6632,6632,Video and Other Electronic Media Rental and Hiring, Renting of video tapes and disks ,7722,..,ANZSIC-6632,ANZSIC-663,ISIC-7722,Yes,1,1,1,Renting of video tapes and disks,,,,,,
,6639,Other Goods and Equipment Rental and Hiring n.e.c.,7721p,Renting and leasing of recreational and sports goods,F7.1168,Yes,4,L,66,663,6639,6639,Other Goods and Equipment Rental and Hiring n.e.c., Renting and leasing of recreational and sports goods ,7721,p,ANZSIC-6639,ANZSIC-663,ISIC-7721,Yes,3,2,3,Renting and leasing of recreational and sports goods,,,,,,
,,,7729,Renting and leasing of other personal and household goods,F7.1169,No,4,L,66,663,6639,6639,Other Goods and Equipment Rental and Hiring n.e.c., Renting and leasing of other personal and household goods ,7729,..,ANZSIC-6639,ANZSIC-663,ISIC-7729,Yes,3,1,3,Renting and leasing of other personal and household goods,,,,,,
,,,7730p,"Renting and leasing of other machinery, equipment and tangible goods",F7.1170,No,4,L,66,663,6639,6639,Other Goods and Equipment Rental and Hiring n.e.c.," Renting and leasing of other machinery, equipment and tangible goods ",7730,p,ANZSIC-6639,ANZSIC-663,ISIC-7730,Yes,3,4,3,"Renting and leasing of other machinery, equipment and tangible goods",,,,,,
664,Non-Financial Intangible Assets (Except Copyrights) Leasing,,,,F7.1171,Yes,3,L,66,664,..,664,Non-Financial Intangible Assets (Except Copyrights) Leasing, .. ,..,..,ANZSIC-664,ANZSIC-66,..,No,..,..,1,..,,,,,,
,6640,Non-Financial Intangible Assets (Except Copyrights) Leasing,7740,"Leasing of intellectual property and similar products, except copyrighted works",F7.1172,Yes,4,L,66,664,6640,6640,Non-Financial Intangible Assets (Except Copyrights) Leasing," Leasing of intellectual property and similar products, except copyrighted works ",7740,..,ANZSIC-6640,ANZSIC-664,ISIC-7740,Yes,1,1,1,"Leasing of intellectual property and similar products, except copyrighted works",,,,,,
67,Property Operators and Real Estate Services,,,,F7.1173,Yes,2,L,67,..,..,67,Property Operators and Real Estate Services, .. ,..,..,ANZSIC-67,ANZSIC-L,..,No,..,..,1,..,,,,,,
671,Property Operators ,,,,F7.1174,Yes,3,L,67,671,..,671,Property Operators , .. ,..,..,ANZSIC-671,ANZSIC-67,..,No,..,..,1,..,,,,,,
,6711,Residential Property Operators ,6810p,Real estate activities with own or leased property,F7.1175,Yes,4,L,67,671,6711,6711,Residential Property Operators , Real estate activities with own or leased property ,6810,p,ANZSIC-6711,ANZSIC-671,ISIC-6810,Yes,1,3,1,Real estate activities with own or leased property,,,,,,
,6712,Non-Residential Property Operators ,6810p,Real estate activities with own or leased property,F7.1176,Yes,4,L,67,671,6712,6712,Non-Residential Property Operators , Real estate activities with own or leased property ,6810,p,ANZSIC-6712,ANZSIC-671,ISIC-6810,Yes,1,3,1,Real estate activities with own or leased property,,,,,,
672,Real Estate Services ,,,,F7.1177,Yes,3,L,67,672,..,672,Real Estate Services , .. ,..,..,ANZSIC-672,ANZSIC-67,..,No,..,..,1,..,,,,,,
,6720,Real Estate Services ,6820,Real estate activities on a fee or contract basis,F7.1178,Yes,4,L,67,672,6720,6720,Real Estate Services , Real estate activities on a fee or contract basis ,6820,..,ANZSIC-6720,ANZSIC-672,ISIC-6820,Yes,2,1,2,Real estate activities on a fee or contract basis,,,,,,
,,,8110,Combined facilities support activities,F7.1179,No,4,L,67,672,6720,6720,Real Estate Services , Combined facilities support activities ,8110,..,ANZSIC-6720,ANZSIC-672,ISIC-8110,Yes,2,1,2,Combined facilities support activities,,,,,,
,,,,,F7.1180,No,..,..,..,..,..,..,.., .. ,..,..,..,..,..,No,..,..,..,..,,,,,,
M,"Professional, Scientific and Technical Services",,,,F7.1181,Yes,1,M,..,..,..,M,"Professional, Scientific and Technical Services", .. ,..,..,ANZSIC-M,ANZSIC,..,No,..,..,1,..,,,,,,
69,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",,,,F7.1182,Yes,2,M,69,..,..,69,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)", .. ,..,..,ANZSIC-69,ANZSIC-M,..,No,..,..,1,..,,,,,,
691,Scientific Research Services,,,,F7.1183,Yes,3,M,69,691,..,691,Scientific Research Services, .. ,..,..,ANZSIC-691,ANZSIC-69,..,No,..,..,1,..,,,,,,
,6910,Scientific Research Services,7210,Research and experimental development on natural sciences and engineering,F7.1184,Yes,4,M,69,691,6910,6910,Scientific Research Services, Research and experimental development on natural sciences and engineering ,7210,..,ANZSIC-6910,ANZSIC-691,ISIC-7210,Yes,2,1,2,Research and experimental development on natural sciences and engineering,,,,,,
,,,7220,Research and experimental development on social sciences and humanities,F7.1185,No,4,M,69,691,6910,6910,Scientific Research Services, Research and experimental development on social sciences and humanities ,7220,..,ANZSIC-6910,ANZSIC-691,ISIC-7220,Yes,2,1,2,Research and experimental development on social sciences and humanities,,,,,,
692,"Architectural, Engineering and Technical Services",,,,F7.1186,Yes,3,M,69,692,..,692,"Architectural, Engineering and Technical Services", .. ,..,..,ANZSIC-692,ANZSIC-69,..,No,..,..,1,..,,,,,,
,6921,Architectural Services,7110p,Architectural and engineering activities and related technical consultancy,F7.1187,Yes,4,M,69,692,6921,6921,Architectural Services, Architectural and engineering activities and related technical consultancy ,7110,p,ANZSIC-6921,ANZSIC-692,ISIC-7110,Yes,1,4,1,Architectural and engineering activities and related technical consultancy,,,,,,
,6922,Surveying and Mapping Services,7110p,Architectural and engineering activities and related technical consultancy,F7.1188,Yes,4,M,69,692,6922,6922,Surveying and Mapping Services, Architectural and engineering activities and related technical consultancy ,7110,p,ANZSIC-6922,ANZSIC-692,ISIC-7110,Yes,1,4,1,Architectural and engineering activities and related technical consultancy,,,,,,
,6923,Engineering Design and Engineering Consulting Services,7110p,Architectural and engineering activities and related technical consultancy,F7.1189,Yes,4,M,69,692,6923,6923,Engineering Design and Engineering Consulting Services, Architectural and engineering activities and related technical consultancy ,7110,p,ANZSIC-6923,ANZSIC-692,ISIC-7110,Yes,3,4,3,Architectural and engineering activities and related technical consultancy,,,,,,
,,,7410p,Specialized design activities,F7.1190,No,4,M,69,692,6923,6923,Engineering Design and Engineering Consulting Services, Specialized design activities ,7410,p,ANZSIC-6923,ANZSIC-692,ISIC-7410,Yes,3,2,3,Specialized design activities,,,,,,
,,,7490p,"Other professional, scientific and technical activities n.e.c.",F7.1191,No,4,M,69,692,6923,6923,Engineering Design and Engineering Consulting Services," Other professional, scientific and technical activities n.e.c. ",7490,p,ANZSIC-6923,ANZSIC-692,ISIC-7490,Yes,3,6,3,"Other professional, scientific and technical activities n.e.c.",,,,,,
,6924,Other Specialised Design Services,7310p,Advertising,F7.1192,Yes,4,M,69,692,6924,6924,Other Specialised Design Services, Advertising ,7310,p,ANZSIC-6924,ANZSIC-692,ISIC-7310,Yes,2,2,2,Advertising,,,,,,
,,,7410p,Specialized design activities,F7.1193,No,4,M,69,692,6924,6924,Other Specialised Design Services, Specialized design activities ,7410,p,ANZSIC-6924,ANZSIC-692,ISIC-7410,Yes,2,2,2,Specialized design activities,,,,,,
,6925,Scientific Testing and Analysis Services,7120p,Technical testing and analysis,F7.1194,Yes,4,M,69,692,6925,6925,Scientific Testing and Analysis Services, Technical testing and analysis ,7120,p,ANZSIC-6925,ANZSIC-692,ISIC-7120,Yes,1,2,1,Technical testing and analysis,,,,,,
693,Legal and Accounting Services,,,,F7.1195,Yes,3,M,69,693,..,693,Legal and Accounting Services, .. ,..,..,ANZSIC-693,ANZSIC-69,..,No,..,..,1,..,,,,,,
,6931,Legal Services,6910,Legal activities,F7.1196,Yes,4,M,69,693,6931,6931,Legal Services, Legal activities ,6910,..,ANZSIC-6931,ANZSIC-693,ISIC-6910,Yes,1,1,1,Legal activities,,,,,,
,6932,Accounting Services,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",F7.1197,Yes,4,M,69,693,6932,6932,Accounting Services," Accounting, bookkeeping and auditing activities; tax consultancy ",6920,..,ANZSIC-6932,ANZSIC-693,ISIC-6920,Yes,1,1,1,"Accounting, bookkeeping and auditing activities; tax consultancy",,,,,,
694,Advertising Services,,,,F7.1198,Yes,3,M,69,694,..,694,Advertising Services, .. ,..,..,ANZSIC-694,ANZSIC-69,..,No,..,..,1,..,,,,,,
,6940,Advertising Services,7310p,Advertising,F7.1199,Yes,4,M,69,694,6940,6940,Advertising Services, Advertising ,7310,p,ANZSIC-6940,ANZSIC-694,ISIC-7310,Yes,1,2,1,Advertising,,,,,,
695,Market Research and Statistical Services,,,,F7.1200,Yes,3,M,69,695,..,695,Market Research and Statistical Services, .. ,..,..,ANZSIC-695,ANZSIC-69,..,No,..,..,1,..,,,,,,
,6950,Market Research and Statistical Services,7320,Market research and public opinion polling,F7.1201,Yes,4,M,69,695,6950,6950,Market Research and Statistical Services, Market research and public opinion polling ,7320,..,ANZSIC-6950,ANZSIC-695,ISIC-7320,Yes,2,1,2,Market research and public opinion polling,,,,,,
,,,8411p,General public administration activities,F7.1202,No,4,M,69,695,6950,6950,Market Research and Statistical Services, General public administration activities ,8411,p,ANZSIC-6950,ANZSIC-695,ISIC-8411,Yes,2,4,2,General public administration activities,,,,,,
696,Management and Related Consulting Services,,,,F7.1203,Yes,3,M,69,696,..,696,Management and Related Consulting Services, .. ,..,..,ANZSIC-696,ANZSIC-69,..,No,..,..,1,..,,,,,,
,6961,Corporate Head Office Management Services,7010,Activities of head offices,F7.1204,Yes,4,M,69,696,6961,6961,Corporate Head Office Management Services, Activities of head offices ,7010,..,ANZSIC-6961,ANZSIC-696,ISIC-7010,Yes,1,1,1,Activities of head offices,,,,,,
,6962,Management Advice and Related Consulting Services,0240p,Support services to forestry,F7.1205,Yes,4,M,69,696,6962,6962,Management Advice and Related Consulting Services, Support services to forestry ,0240,p,ANZSIC-6962,ANZSIC-696,ISIC-0240,Yes,5,3,5,Support services to forestry,,,,,,
,,,6399p,Other information service activities n.e.c.,F7.1206,No,4,M,69,696,6962,6962,Management Advice and Related Consulting Services, Other information service activities n.e.c. ,6399,p,ANZSIC-6962,ANZSIC-696,ISIC-6399,Yes,5,2,5,Other information service activities n.e.c.,,,,,,
,,,7020,Management consultancy activities,F7.1207,No,4,M,69,696,6962,6962,Management Advice and Related Consulting Services, Management consultancy activities ,7020,..,ANZSIC-6962,ANZSIC-696,ISIC-7020,Yes,5,1,5,Management consultancy activities,,,,,,
,,,7490p,"Other professional, scientific and technical activities n.e.c.",F7.1208,No,4,M,69,696,6962,6962,Management Advice and Related Consulting Services," Other professional, scientific and technical activities n.e.c. ",7490,p,ANZSIC-6962,ANZSIC-696,ISIC-7490,Yes,5,6,5,"Other professional, scientific and technical activities n.e.c.",,,,,,
,,,7830p,Other human resources provision,F7.1209,No,4,M,69,696,6962,6962,Management Advice and Related Consulting Services, Other human resources provision ,7830,p,ANZSIC-6962,ANZSIC-696,ISIC-7830,Yes,5,2,5,Other human resources provision,,,,,,
697,Veterinary Services,,,,F7.1210,Yes,3,M,69,697,..,697,Veterinary Services, .. ,..,..,ANZSIC-697,ANZSIC-69,..,No,..,..,1,..,,,,,,
,6970,Veterinary Services,7500,Veterinary activities,F7.1211,Yes,4,M,69,697,6970,6970,Veterinary Services, Veterinary activities ,7500,..,ANZSIC-6970,ANZSIC-697,ISIC-7500,Yes,1,1,1,Veterinary activities,,,,,,
699,"Other Professional, Scientific and Technical Services",,,,F7.1212,Yes,3,M,69,699,..,699,"Other Professional, Scientific and Technical Services", .. ,..,..,ANZSIC-699,ANZSIC-69,..,No,..,..,1,..,,,,,,
,6991,Professional Photographic Services,7420p,Photographic activities,F7.1213,Yes,4,M,69,699,6991,6991,Professional Photographic Services, Photographic activities ,7420,p,ANZSIC-6991,ANZSIC-699,ISIC-7420,Yes,2,4,2,Photographic activities,,,,,,
,,,9609p,Other personal service activities n.e.c.,F7.1214,No,4,M,69,699,6991,6991,Professional Photographic Services, Other personal service activities n.e.c. ,9609,p,ANZSIC-6991,ANZSIC-699,ISIC-9609,Yes,2,6,2,Other personal service activities n.e.c.,,,,,,
,6999,"Other Professional, Scientific and Technical Services n.e.c.",0510p,Mining of hard coal,F7.1215,Yes,4,M,69,699,6999,6999,"Other Professional, Scientific and Technical Services n.e.c.", Mining of hard coal ,0510,p,ANZSIC-6999,ANZSIC-699,ISIC-0510,Yes,5,2,5,Mining of hard coal,,,,,,
,,,0910p,Support activities for petroleum and natural gas extraction,F7.1216,No,4,M,69,699,6999,6999,"Other Professional, Scientific and Technical Services n.e.c.", Support activities for petroleum and natural gas extraction ,0910,p,ANZSIC-6999,ANZSIC-699,ISIC-0910,Yes,5,5,5,Support activities for petroleum and natural gas extraction,,,,,,
,,,0990p,Support activities for other mining and quarrying,F7.1217,No,4,M,69,699,6999,6999,"Other Professional, Scientific and Technical Services n.e.c.", Support activities for other mining and quarrying ,0990,p,ANZSIC-6999,ANZSIC-699,ISIC-0990,Yes,5,3,5,Support activities for other mining and quarrying,,,,,,
,,,7110p,Architectural and engineering activities and related technical consultancy,F7.1218,No,4,M,69,699,6999,6999,"Other Professional, Scientific and Technical Services n.e.c.", Architectural and engineering activities and related technical consultancy ,7110,p,ANZSIC-6999,ANZSIC-699,ISIC-7110,Yes,5,4,5,Architectural and engineering activities and related technical consultancy,,,,,,
,,,7490p,"Other professional, scientific and technical activities n.e.c.",F7.1219,No,4,M,69,699,6999,6999,"Other Professional, Scientific and Technical Services n.e.c."," Other professional, scientific and technical activities n.e.c. ",7490,p,ANZSIC-6999,ANZSIC-699,ISIC-7490,Yes,5,6,5,"Other professional, scientific and technical activities n.e.c.",,,,,,
70,Computer System Design and Related Services,,,,F7.1220,Yes,2,M,70,..,..,70,Computer System Design and Related Services, .. ,..,..,ANZSIC-70,ANZSIC-M,..,No,..,..,1,..,,,,,,
700,Computer System Design and Related Services,,,,F7.1221,Yes,3,M,70,700,..,700,Computer System Design and Related Services, .. ,..,..,ANZSIC-700,ANZSIC-70,..,No,..,..,1,..,,,,,,
,7000,Computer System Design and Related Services,3320p,Installation of industrial machinery and equipment,F7.1222,Yes,4,M,70,700,7000,7000,Computer System Design and Related Services, Installation of industrial machinery and equipment ,3320,p,ANZSIC-7000,ANZSIC-700,ISIC-3320,Yes,4,5,4,Installation of industrial machinery and equipment,,,,,,
,,,6201,Computer programming activities,F7.1223,No,4,M,70,700,7000,7000,Computer System Design and Related Services, Computer programming activities ,6201,..,ANZSIC-7000,ANZSIC-700,ISIC-6201,Yes,4,1,4,Computer programming activities,,,,,,
,,,6202p,Computer consultancy and computer facilities management activities,F7.1224,No,4,M,70,700,7000,7000,Computer System Design and Related Services, Computer consultancy and computer facilities management activities ,6202,p,ANZSIC-7000,ANZSIC-700,ISIC-6202,Yes,4,3,4,Computer consultancy and computer facilities management activities,,,,,,
,,,6209,Other information technology and computer service activities,F7.1225,No,4,M,70,700,7000,7000,Computer System Design and Related Services, Other information technology and computer service activities ,6209,..,ANZSIC-7000,ANZSIC-700,ISIC-6209,Yes,4,1,4,Other information technology and computer service activities,,,,,,
,,,,,F7.1226,No,..,..,..,..,..,..,.., .. ,..,..,..,..,..,No,..,..,..,..,,,,,,
N,Administrative and Support Services,,,,F7.1227,Yes,1,N,..,..,..,N,Administrative and Support Services, .. ,..,..,ANZSIC-N,ANZSIC,..,No,..,..,1,..,,,,,,
72,Administrative Services,,,,F7.1228,Yes,2,N,72,..,..,72,Administrative Services, .. ,..,..,ANZSIC-72,ANZSIC-N,..,No,..,..,1,..,,,,,,
721,Employment Services,,,,F7.1229,Yes,3,N,72,721,..,721,Employment Services, .. ,..,..,ANZSIC-721,ANZSIC-72,..,No,..,..,1,..,,,,,,
,7211,Employment Placement and Recruitment Services,7490p,"Other professional, scientific and technical activities n.e.c.",F7.1230,Yes,4,N,72,721,7211,7211,Employment Placement and Recruitment Services," Other professional, scientific and technical activities n.e.c. ",7490,p,ANZSIC-7211,ANZSIC-721,ISIC-7490,Yes,3,6,3,"Other professional, scientific and technical activities n.e.c.",,,,,,
,,,7810,Activities of employment placement agencies,F7.1231,No,4,N,72,721,7211,7211,Employment Placement and Recruitment Services, Activities of employment placement agencies ,7810,..,ANZSIC-7211,ANZSIC-721,ISIC-7810,Yes,3,1,3,Activities of employment placement agencies,,,,,,
,,,8550p,Educational support activities,F7.1232,No,4,N,72,721,7211,7211,Employment Placement and Recruitment Services, Educational support activities ,8550,p,ANZSIC-7211,ANZSIC-721,ISIC-8550,Yes,3,2,3,Educational support activities,,,,,,
,7212,Labour Supply Services,7820,Temporary employment agency activities,F7.1233,Yes,4,N,72,721,7212,7212,Labour Supply Services, Temporary employment agency activities ,7820,..,ANZSIC-7212,ANZSIC-721,ISIC-7820,Yes,1,1,1,Temporary employment agency activities,,,,,,
722,Travel Agency and Tour Arrangement Services,,,,F7.1234,Yes,3,N,72,722,..,722,Travel Agency and Tour Arrangement Services, .. ,..,..,ANZSIC-722,ANZSIC-72,..,No,..,..,1,..,,,,,,
,7220,Travel Agency and Tour Arrangement Services,7911p,Travel agency activities,F7.1235,Yes,4,N,72,722,7220,7220,Travel Agency and Tour Arrangement Services, Travel agency activities ,7911,p,ANZSIC-7220,ANZSIC-722,ISIC-7911,Yes,3,2,3,Travel agency activities,,,,,,
,,,7912p,Tour operator activities,F7.1236,No,4,N,72,722,7220,7220,Travel Agency and Tour Arrangement Services, Tour operator activities ,7912,p,ANZSIC-7220,ANZSIC-722,ISIC-7912,Yes,3,2,3,Tour operator activities,,,,,,
,,,7990p,Other reservation service and related activities,F7.1237,No,4,N,72,722,7220,7220,Travel Agency and Tour Arrangement Services, Other reservation service and related activities ,7990,p,ANZSIC-7220,ANZSIC-722,ISIC-7990,Yes,3,2,3,Other reservation service and related activities,,,,,,
729,Other Administrative Services,,,,F7.1238,Yes,3,N,72,729,..,729,Other Administrative Services, .. ,..,..,ANZSIC-729,ANZSIC-72,..,No,..,..,1,..,,,,,,
,7291,Office Administrative Services,7830p,Other human resources provision,F7.1239,Yes,4,N,72,729,7291,7291,Office Administrative Services, Other human resources provision ,7830,p,ANZSIC-7291,ANZSIC-729,ISIC-7830,Yes,4,2,4,Other human resources provision,,,,,,
