"Division, Sub-Ddivision
Group","Class,Descriptions",Class Description,ISIC-P,ISIC Description,UID,ANZSIC CODE,Level,Division,Sub-Ddivision,Group,Class,Code,Description,ISIC Description,ISIC,ISIC-P,#ANZSIC,"PARENT #ANZSIC",#ISIC,Used For Concordance ,"Matches to 
Concordance
(ANZIC to ISIC)","Matches to 
Concordance
(ISIC to ANZIC)",Matched to NETVIEW,Match ISIC for description,Comments,,,,"#ANZSIC
Codes
Unique",Code
,0160,Dairy Cattle Farming,0141p,Raising of cattle and buffaloes,F7.0060,Yes,4,A,01,016,0160,0160,Dairy Cattle Farming, Raising of cattle and buffaloes ,0141,p,ANZSIC-0160,ANZSIC-016,ISIC-0141,Yes,1,4,1,Raising of cattle and buffaloes,,,,,ANZSIC-0414,0414
017,Poultry Farming,,,,F7.0061,Yes,3,A,01,017,..,017,Poultry Farming, .. ,..,..,ANZSIC-017,ANZSIC-01,..,No,..,..,1,..,,,,,ANZSIC-0419,0419
,0171,Poultry Farming (Meat),0146p,Raising of poultry,F7.0062,Yes,4,A,01,017,0171,0171,Poultry Farming (Meat), Raising of poultry ,0146,p,ANZSIC-0171,ANZSIC-017,ISIC-0146,Yes,1,2,1,Raising of poultry,,,,,ANZSIC-042,042
,0172,Poultry Farming (Eggs) ,0146p,Raising of poultry,F7.0063,Yes,4,A,01,017,0172,0172,Poultry Farming (Eggs) , Raising of poultry ,0146,p,ANZSIC-0172,ANZSIC-017,ISIC-0146,Yes,1,2,1,Raising of poultry,,,,,ANZSIC-0420,0420
018,Deer Farming,,,,F7.0064,Yes,3,A,01,018,..,018,Deer Farming, .. ,..,..,ANZSIC-018,ANZSIC-01,..,No,..,..,1,..,,,,,ANZSIC-05,05
,0180,Deer Farming,0149p,Raising of other animals,F7.0065,Yes,4,A,01,018,0180,0180,Deer Farming, Raising of other animals ,0149,p,ANZSIC-0180,ANZSIC-018,ISIC-0149,Yes,1,3,1,Raising of other animals,,,,,ANZSIC-051,051
019,Other Livestock Farming,,,,F7.0066,Yes,3,A,01,019,..,019,Other Livestock Farming, .. ,..,..,ANZSIC-019,ANZSIC-01,..,No,..,..,1,..,,,,,ANZSIC-0510,0510
,0191,Horse Farming,0142p,Raising of horses and other equines,F7.0067,Yes,4,A,01,019,0191,0191,Horse Farming, Raising of horses and other equines ,0142,p,ANZSIC-0191,ANZSIC-019,ISIC-0142,Yes,2,2,2,Raising of horses and other equines,,,,,ANZSIC-052,052
,,,0162p,Support activities for animal production,F7.0068,No,4,A,01,019,0191,0191,Horse Farming, Support activities for animal production ,0162,p,ANZSIC-0191,ANZSIC-019,ISIC-0162,Yes,2,5,2,Support activities for animal production,,,,,ANZSIC-0521,0521
,0192,Pig Farming,0145,Raising of swine/pigs,F7.0069,Yes,4,A,01,019,0192,0192,Pig Farming, Raising of swine/pigs ,0145,..,ANZSIC-0192,ANZSIC-019,ISIC-0145,Yes,1,1,1,Raising of swine/pigs,,,,,ANZSIC-0522,0522
