Source,Target,UID,#NACE,#ISIC,#NACE matches,#ISIC matches
88.10,8810,F6.0926,NACE-88.10,ISIC-8810,1,1
88.9,889,F6.0927,NACE-88.9,ISIC-889,1,1
88.91,8890,F6.0928,NACE-88.91,ISIC-8890,1,1
88.99,8890,F6.0929,NACE-88.99,ISIC-8890,1,1
R,R,F6.0930,NACE-R,ISIC-R,1,1
90,90,F6.0931,NACE-90,ISIC-90,1,1
90.0,900,F6.0932,NACE-90.0,ISIC-900,1,1
90.01,9000,F6.0933,NACE-90.01,ISIC-9000,1,1
90.02,9000,F6.0934,NACE-90.02,ISIC-9000,1,1
90.03,9000,F6.0935,NACE-90.03,ISIC-9000,1,1
90.04,9000,F6.0936,NACE-90.04,ISIC-9000,1,1
91,91,F6.0937,NACE-91,ISIC-91,1,1
91.0,910,F6.0938,NACE-91.0,ISIC-910,1,1
91.01,9101,F6.0939,NACE-91.01,ISIC-9101,1,1
91.02,9102,F6.0940,NACE-91.02,ISIC-9102,1,1
91.03,9102,F6.0941,NACE-91.03,ISIC-9102,1,1
91.04,9103,F6.0942,NACE-91.04,ISIC-9103,1,1
92,92,F6.0943,NACE-92,ISIC-92,1,1
92.0,920,F6.0944,NACE-92.0,ISIC-920,1,1
92.00,9200,F6.0945,NACE-92.00,ISIC-9200,1,1
93,93,F6.0946,NACE-93,ISIC-93,1,1
93.1,931,F6.0947,NACE-93.1,ISIC-931,1,1
93.11,9311,F6.0948,NACE-93.11,ISIC-9311,1,1
93.12,9312,F6.0949,NACE-93.12,ISIC-9312,1,1
93.13,9311,F6.0950,NACE-93.13,ISIC-9311,1,1
93.19,9319,F6.0951,NACE-93.19,ISIC-9319,1,1
93.2,932,F6.0952,NACE-93.2,ISIC-932,1,1
93.21,9321,F6.0953,NACE-93.21,ISIC-9321,1,1
93.29,9329,F6.0954,NACE-93.29,ISIC-9329,1,1
S,S,F6.0955,NACE-S,ISIC-S,1,1
94,94,F6.0956,NACE-94,ISIC-94,1,1
94.1,941,F6.0957,NACE-94.1,ISIC-941,1,1
94.11,9411,F6.0958,NACE-94.11,ISIC-9411,1,1
94.12,9412,F6.0959,NACE-94.12,ISIC-9412,1,1
94.2,942,F6.0960,NACE-94.2,ISIC-942,1,1
94.20,9420,F6.0961,NACE-94.20,ISIC-9420,1,1
94.9,949,F6.0962,NACE-94.9,ISIC-949,1,1
94.91,9491,F6.0963,NACE-94.91,ISIC-9491,1,1
